line_id,claim_id,date,city,category,merchant,amount,has_receipt,description
L-3109,CL-2028,2026-08-27,Toronto,hotel,Holiday Inn,263.34,yes,"Hotel, one night"
L-3110,CL-2028,2026-08-28,Toronto,meals,The Keg,95.78,yes,Dinner
L-3111,CL-2028,2026-08-28,Toronto,ground,Uber,37.78,no,Taxi to client office
L-3112,CL-2029,2026-08-29,Montreal,flight,WestJet,531.77,yes,Economy return flight
L-3113,CL-2029,2026-08-29,Montreal,hotel,Marriott,186.57,yes,"Hotel, one night"
L-3114,CL-2029,2026-08-30,Montreal,meals,Noodle House,43.16,yes,Dinner
L-3115,CL-2029,2026-08-30,Montreal,software,Figma,144.0,yes,Annual Figma licence
L-3116,CL-2030,2026-08-31,Vancouver,flight,WestJet,769.17,yes,Economy return flight
L-3117,CL-2030,2026-08-31,Vancouver,hotel,Holiday Inn,244.96,yes,"Hotel, one night"
L-3118,CL-2030,2026-09-01,Vancouver,meals,The Keg,63.56,yes,Dinner
L-3119,CL-2030,2026-09-01,Vancouver,ground,Lyft,52.86,yes,Taxi to client office
L-3120,CL-2031,2026-08-03,Toronto,flight,WestJet,473.57,yes,Economy return flight
L-3121,CL-2031,2026-08-03,Toronto,hotel,Hyatt Place,150.83,yes,"Hotel, one night"
L-3122,CL-2031,2026-08-04,Toronto,meals,Bistro Nord,41.71,yes,Dinner
L-3123,CL-2031,2026-08-04,Toronto,ground,City Taxi,38.41,yes,Taxi to client office
L-3124,CL-2032,2026-08-05,Toronto,flight,Porter,420.8,yes,Economy return flight
L-3125,CL-2032,2026-08-05,Toronto,hotel,Holiday Inn,189.27,yes,"Hotel, one night"
L-3126,CL-2032,2026-08-06,Toronto,meals,Sweetgreen,52.75,yes,Dinner
L-3127,CL-2032,2026-08-07,Toronto,meals,Earls Kitchen,108.75,yes,Client dinner
L-3128,CL-2033,2026-08-07,Vancouver,flight,United,804.97,yes,Economy return flight
L-3129,CL-2033,2026-08-07,Vancouver,hotel,Marriott,239.57,yes,"Hotel, one night"
L-3130,CL-2033,2026-08-08,Vancouver,meals,Noodle House,60.64,yes,Dinner
L-3131,CL-2033,2026-08-08,Vancouver,hotel,Hyatt Place,382.2,yes,"Hotel, one night (suite)"
L-3132,CL-2034,2026-08-09,Montreal,flight,WestJet,660.0,yes,"Return flight, booked late"
L-3133,CL-2034,2026-08-09,Montreal,hotel,Hyatt Place,141.63,yes,"Hotel, one night"
L-3134,CL-2034,2026-08-10,Montreal,meals,Bistro Nord,37.87,yes,Dinner
L-3135,CL-2035,2026-08-11,Vancouver,flight,United,1579.24,yes,Economy return flight
L-3136,CL-2035,2026-08-11,Vancouver,hotel,Hilton,293.94,yes,"Hotel, one night"
L-3137,CL-2035,2026-08-12,Vancouver,meals,Bistro Nord,92.38,yes,Dinner
L-3138,CL-2035,2026-08-12,Vancouver,personal,GoodLife Fitness,82.32,yes,Gym day pass
L-3139,CL-2036,2026-08-13,New York,flight,Porter,447.95,yes,Economy return flight
L-3140,CL-2036,2026-08-13,New York,hotel,Hyatt Place,229.9,yes,"Hotel, one night"
L-3141,CL-2036,2026-08-14,New York,meals,The Keg,68.33,yes,Dinner
L-3142,CL-2036,2026-08-14,New York,meals,The Keg,68.33,yes,Dinner
L-3143,CL-2037,2026-06-20,Toronto,flight,WestJet,495.68,yes,Economy return flight
L-3144,CL-2037,2026-06-20,Toronto,hotel,Hilton,196.01,yes,"Hotel, one night"
L-3145,CL-2037,2026-06-21,Toronto,meals,Pret A Manger,41.96,yes,Dinner
L-3146,CL-2037,2026-06-21,Toronto,ground,City Taxi,35.87,yes,Taxi to client office
L-3147,CL-2038,2026-08-17,Toronto,flight,Air Canada,664.06,yes,Economy return flight
L-3148,CL-2038,2026-08-17,Toronto,hotel,Hyatt Place,192.49,yes,"Hotel, one night"
L-3149,CL-2038,2026-08-18,Toronto,meals,Earls Kitchen,76.9,yes,Dinner
L-3150,CL-2038,2026-08-18,Toronto,ground,Lyft,50.01,no,Taxi to client office
L-3151,CL-2039,2026-08-19,New York,flight,Porter,505.3,yes,Economy return flight
L-3152,CL-2039,2026-08-19,New York,hotel,Holiday Inn,188.03,yes,"Hotel, one night"
L-3153,CL-2039,2026-08-20,New York,meals,Noodle House,47.93,yes,Dinner
L-3154,CL-2039,2026-08-20,New York,equipment,Best Buy,89.99,yes,Wireless keyboard
L-3155,CL-2040,2026-08-21,Toronto,flight,United,1614.86,yes,Economy return flight
L-3156,CL-2040,2026-08-21,Toronto,hotel,Holiday Inn,261.83,yes,"Hotel, one night"
L-3157,CL-2040,2026-08-22,Toronto,meals,Noodle House,83.42,yes,Dinner
L-3158,CL-2040,2026-08-23,Toronto,meals,Earls Kitchen,72.0,yes,Lunch
L-3159,CL-2040,2026-08-23,Toronto,meals,Noodle House,74.4,yes,Dinner
